image,blur_score,blur_category,rl_psnr,rl_ssim,rl_runtime_sec,gan_psnr,gan_ssim,gan_runtime_sec
000035.png,20.34089188092549,high_blur,21.631710413518018,0.7317743237060579,4.119946718215942,6.315271350243364,0.39123100241548686,0.08144426345825195
000036.png,17.53529954781237,high_blur,20.551845323288127,0.696907996158174,4.045034408569336,6.262056558191462,0.3912936317889244,0.07904720306396484
000037.png,18.78985784855477,high_blur,19.525158248857263,0.6514175428353006,4.074364900588989,6.258472089820439,0.3882434143099598,0.08682417869567871
000038.png,22.331669865406884,high_blur,20.21895938258682,0.6788390461774341,4.0955140590667725,6.286515662265858,0.3862734800704045,0.07933688163757324
000039.png,32.966934127802915,high_blur,19.621836776420675,0.6985528260213372,3.9849634170532227,6.173293130173896,0.3747472654639481,0.07884383201599121
000040.png,48.95172402863561,high_blur,20.725419570898573,0.7372196240595236,4.0628437995910645,6.2036772279522925,0.3754576293546108,0.08403444290161133
000041.png,28.800680838595504,high_blur,20.131388218953973,0.7082897287891275,4.076180458068848,6.238402453429318,0.3803673120966104,0.08643984794616699
000042.png,38.34710210350885,high_blur,19.75650189593583,0.7070832331323035,4.353251218795776,6.18187456037555,0.3758621512760975,0.08179903030395508
000043.png,33.28768068905936,high_blur,21.038480111098067,0.7446434163033544,4.21654200553894,6.185405390058888,0.3780562446635975,0.08615303039550781
000044.png,26.174690733750666,high_blur,21.900757108805763,0.7691577640903663,4.483509302139282,6.075296274166602,0.3717999941100308,0.09170389175415039
000045.png,15.056249998638958,high_blur,20.863090320210063,0.6915287931412489,4.062775135040283,5.981029733887558,0.3746768625437306,0.07090973854064941
000046.png,19.72423665015963,high_blur,21.749872670642326,0.7363702329171398,4.150095701217651,5.874273983444213,0.36071953167121534,0.07347369194030762
000047.png,21.1481043766999,high_blur,20.995490257079336,0.7370714916343442,4.432072877883911,5.723785568969252,0.3447757676369172,0.07608532905578613
000048.png,22.74449850575011,high_blur,18.674753173694544,0.6144427606929577,4.265364170074463,5.645736659298636,0.34555729632332055,0.07116293907165527
000049.png,16.63989690686332,high_blur,19.328459667552472,0.6453761607154346,4.297773122787476,5.587384386566235,0.3325422804580847,0.07904267311096191
000050.png,23.310420939127603,high_blur,20.100741851723395,0.687907260104036,4.161920547485352,5.410320857133185,0.32059058062247264,0.07918834686279297
000051.png,32.3821254008246,high_blur,20.635418455336424,0.7073144642227844,4.00737738609314,5.392177077617525,0.3121806146396719,0.07983899116516113
000052.png,14.858231336800854,high_blur,19.591350612261806,0.6390658928879084,4.028894662857056,5.4428122190508885,0.3259176494543706,0.07128500938415527
000053.png,24.78399732801649,high_blur,19.05438413216703,0.6327883835882132,4.032301425933838,5.487633452842085,0.32688205158923705,0.0717010498046875
000054.png,15.549732206175062,high_blur,19.777408915350378,0.6408691801920121,4.053155183792114,5.58604742321476,0.33978982445279343,0.07881832122802734
000055.png,27.054762300915204,high_blur,19.401181987997333,0.6658265091003555,3.986172914505005,5.642040482730071,0.3380669711770284,0.0789344310760498
000056.png,18.22188864746094,high_blur,20.099457565968038,0.681303750558079,4.0200886726379395,5.688448153569258,0.3422153763411208,0.07206511497497559
000057.png,47.70019082963733,high_blur,19.52048428448148,0.6973028682941552,4.033865213394165,5.727357267059391,0.3406747334946166,0.07857322692871094
000058.png,25.82905704413401,high_blur,18.80023412641529,0.6255102259884953,4.013904333114624,5.729095085448379,0.34989031014704,0.07017850875854492
000059.png,21.053705316538867,high_blur,22.200470612500563,0.7399517586541573,4.027969598770142,5.697164226209406,0.3385644721735516,0.07966971397399902
000060.png,18.588156402795107,high_blur,18.92009265044912,0.6125775659018526,4.016184568405151,5.682768135916682,0.34536391107115383,0.07945036888122559
000061.png,39.95414278903538,high_blur,19.793261940474164,0.6845845220765789,4.007800817489624,5.611289814199552,0.32622261158404975,0.08130502700805664
000062.png,46.04735677015517,high_blur,19.612333110773832,0.6888420784366874,4.01665997505188,5.612896820066454,0.32207575179902725,0.06766223907470703
000063.png,52.20924355988562,high_blur,20.448717327102255,0.7095954049953946,4.035167694091797,5.663927304561004,0.3274173352021795,0.0794212818145752
000064.png,19.020873297202733,high_blur,19.33780542656591,0.6237737330762558,4.019939422607422,5.727240827143073,0.3406392585973692,0.07151317596435547
000065.png,23.453586832512745,high_blur,20.014438596652283,0.6733602657920064,4.025229454040527,5.796994556886579,0.3459661137472815,0.07899689674377441
000066.png,36.37004687646466,high_blur,25.202943505254574,0.8501115592663292,4.066842317581177,5.8481491810237,0.34656310356544284,0.07905888557434082
000067.png,52.388859705087896,high_blur,24.225477569461184,0.8279830807243937,4.083134889602661,5.92583034619963,0.3529625023512632,0.07904219627380371
000068.png,54.38866495760694,high_blur,22.547380793241544,0.7782445469962495,4.51101016998291,5.917384162645456,0.35408370157099095,0.08722329139709473
000069.png,35.56702493828199,high_blur,22.549980092629617,0.7665203450994632,4.168941259384155,5.956157230204163,0.35940324090826076,0.08186912536621094
000070.png,32.036131704023155,high_blur,19.26806759886676,0.6805769108024672,4.093053102493286,5.948161683574831,0.35921221650104884,0.12639641761779785
000071.png,23.65992938144706,high_blur,19.113051663033822,0.6454047753492977,4.7797605991363525,5.8867757682880075,0.3575240969464283,0.0991678237915039
000072.png,40.186924163436885,high_blur,20.080800962114115,0.7048872187419347,4.111948251724243,5.842685887003527,0.3459141475422312,0.07912087440490723
000073.png,83.84711131512205,high_blur,19.354943042474304,0.6849699566033524,4.37096643447876,5.819341667154768,0.3409862883778482,0.10369324684143066
000074.png,37.973620324282,high_blur,20.11346341448535,0.6949033355703856,4.085279226303101,5.8289493050822685,0.34712498708075956,0.07800865173339844
000075.png,28.284869470185413,high_blur,22.31588125166486,0.7513020155104342,4.104595184326172,5.844244596954551,0.3523608270778768,0.07774472236633301
000076.png,32.87385837426714,high_blur,19.565386956665353,0.6771165054822782,4.056771755218506,5.788035072144204,0.3491452290135207,0.0777292251586914
000077.png,14.165843032826313,high_blur,19.231659082983747,0.6291550550494477,4.118028402328491,5.923024952656428,0.3802512342777519,0.06978273391723633
000078.png,20.806067238061228,high_blur,18.716829202891383,0.6284730689657846,4.064607381820679,5.988092271735175,0.3835405947774708,0.0745389461517334
000079.png,15.505859524644453,high_blur,20.241107750064646,0.6776733030669913,4.033284425735474,6.080935194648628,0.38382798598410695,0.07068371772766113
